instruction_name,file_name,line_no,is_vector
"  %26 = getelementptr inbounds double# double* %0# i64 %25",,,0
"  %37 = getelementptr inbounds double# double* %0# i64 %36",,,0
"  %40 = getelementptr inbounds double# double* %0# i64 %39",,,0
"  %54 = getelementptr inbounds double# double* %0# i64 %53",,,0
"  %59 = getelementptr inbounds double# double* %0# i64 %58",,,0
"  %63 = getelementptr inbounds double# double* %0# i64 %62",,,0
"  %76 = getelementptr inbounds double# double* %0# i64 %75",,,0
"  %79 = getelementptr inbounds double# double* %0# i64 %78",,,0
"  %82 = getelementptr inbounds double# double* %0# i64 %81",,,0
"  %21 = getelementptr inbounds double# double* %0# i64 %20",,,0
"  %87 = getelementptr inbounds double# double* %0# i64 %86",,,0
"  %90 = getelementptr inbounds double# double* %0# i64 %89",,,0
"  %108 = getelementptr inbounds double# double* %0# i64 %107",,,0
"  %118 = getelementptr inbounds double# double* %0# i64 %117",,,0
"  %123 = getelementptr inbounds double# double* %0# i64 %122",,,0
"  %167 = getelementptr inbounds double# double* %0# i64 %166",,,0
"  %175 = getelementptr inbounds double# double* %0# i64 %174",,,0
"  %180 = getelementptr inbounds double# double* %0# i64 %179",,,0
